Customer ID,Quarter,Referred a Friend,Number of Referrals,Tenure in Months,Offer,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue
1746-TGTWV,Q3,No,0.0,1.0,None,No,0.0,No,Yes,None,8.0,No,No,No,No,No,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,39.65,2280.6734637493046,0.0,20.0,0.0,59.65
8499-BRXTD,Q3,Yes,1.0,8.0,Offer E,Yes,48.85,Yes,Yes,Fiber Optic,17.0,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,80.65,633.3,0.0,0.0,390.8,1024.1
5832-EXGTT,Q3,Yes,1.0,25.0,Offer C,Yes,19.76,No,Yes,Fiber Optic,12.0,No,Yes,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,98.5,2514.5,0.0,0.0,494.00000000000006,2995.07
8350-NYMVI,Q3,Yes,1.0,37.0,Offer C,Yes,6.33,No,Yes,Fiber Optic,25.227248536455562,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,76.5,2868.15,0.0,0.0,234.21,3102.36
7284-BUYEC,,No,0.0,27.0,Offer C,Yes,3.33,Yes,Yes,Fiber Optic,18.0,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,78.05,2135.5,0.0,10.0,89.91,2235.41
3458-IDMFK,Q3,Yes,1.0,1.0,Offer E,Yes,22.905796402744297,No,Yes,None,30.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Mailed Check,70.45,70.45,0.0,0.0,15.28,85.73
3709-OIJEA,Q3,Yes,6.0,58.0,Offer B,No,0.0,No,Yes,DSL,24.0,No,Yes,Yes,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,45.3,2651.2,40.95,0.0,0.0,2610.25
3006-XIMLN,Q3,No,0.0,7.0,Offer E,Yes,26.95,No,Yes,Fiber Optic,18.0,Yes,No,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,64.59322269608751,503.6,11.05,6.288164665523156,188.65,681.2
3196-NVXLZ,Q3,No,0.0,1.0,Offer D,Yes,29.11,No,Yes,Fiber Optic,29.0,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,64.59322269608751,1074.3,0.0,0.0,436.65,1510.9499999999998
5939-SXWHM,Q3,Yes,1.0,1.0,Offer E,Yes,0.0,No,Yes,None,12.0,No,Yes,No,No,Yes,No,No,Yes,Month-to-Month,No,Bank Withdrawal,40.2,40.2,0.0,0.0,0.0,40.2
4450-MDZFX,Q3,No,0.0,3.0,Offer E,No,0.0,No,Yes,DSL,28.0,No,No,Yes,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,41.15,2280.6734637493046,0.0,0.0,0.0,132.2
1730-VFMWO,,No,0.0,13.0,Offer D,Yes,32.68,Yes,Yes,Cable,11.0,No,Yes,Yes,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,64.59322269608751,1364.3,0.0,10.0,424.84,1799.14
7037-MTYVW,Q3,No,0.0,16.0,None,Yes,22.905796402744297,No,Yes,Fiber Optic,9.0,No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,94.45,1511.2,0.0,0.0,150.88,1662.08
6463-HHXJR,,No,0.0,8.0,None,Yes,1.78,No,Yes,Fiber Optic,7.0,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.5,606.55,0.0,0.0,14.24,3044.441077322455
