Customer ID,Churn Category
0650-BWOZN,1
0562-FGDCR,1
6688-UZPWD,0
2905-KFQUV,1
9720-JJJOR,0
5236-PERKL,1
8200-LGKSR,0
3279-DYZQM,0
3996-ZNWYK,0
9500-LTVBP,0
5229-PRWKT,0
1764-VUUMT,2
7531-GQHME,0
4377-VDHYI,0
7516-GMHUV,0
5197-PYEPU,1
2120-SMPEX,2
0496-AHOOK,1
2805-AUFQN,0
0841-NULXI,0
0263-FJTQO,0
3280-NMUVX,0
1820-TQVEV,0
1100-DDVRV,0
9779-DPNEJ,0
8409-WQJUX,0
7493-TPUWZ,0
1135-HIORI,0
6230-BSUXY,1
9667-EQRXU,0
2014-MKGMH,1
7207-RMRDB,5
1934-SJVJK,0
7077-XJMET,0
2452-KDRRH,0
7351-MHQVU,4
8631-XVRZL,0
3143-ILDAL,3
4797-AXPXK,0
6164-HAQTX,0
0526-SXDJP,0
3671-SHRSP,0
6101-IMRMM,4
7131-ZQZNK,0
1775-KWJKQ,0
4078-SAYYN,1
9774-NRNAU,0
2123-AGEEN,0
0742-MOABM,3
5884-GCYMI,0
3452-GWUIN,0
6713-OKOMC,0
9039-ZVJDC,0
8701-DGLVH,0
8630-FJLIB,0
1850-AKQEP,0
8313-NDOIA,0
2703-AMTUL,0
5789-LDFXO,2
4522-AKYLR,0
2121-JAFOM,0
1732-FEKLD,0
6860-YRJZP,0
8070-AAWZP,0
5067-XJQFU,0
4847-QNOKA,0
0807-ZABDG,0
7233-IOQNP,0
1384-RCUXW,0
9968-FFVVH,0
7989-CHGTL,4
8096-LOIST,0
5364-EVNIB,0
4789-KWMXN,0
1084-UQCHV,0
0788-DXBFY,0
6791-YBNAK,2
4837-QUSFT,0
5948-UJZLF,0
0913-XWSCN,0
1934-MKPXS,0
6435-VWCCY,0
0402-CQAJN,2
2359-KMGLI,2
9391-EOYLI,0
7356-AYNJP,3
7892-POOKP,0
8050-XGRVL,0
8755-OGKNA,1
1818-ESQMW,0
9133-AYJZG,1
7814-LEEVE,0
6022-UGGSO,0
7446-YPODE,0
8399-YNDCH,0
5196-WPYOW,0
0856-NAOES,0
2999-AANRQ,0
7714-YXSMB,0
3541-ZNUHK,0
7089-IVVAZ,0
7817-BOQPW,0
8496-EJAUI,2
8059-UDZFY,0
9643-YBLUR,1
4829-ZLJTK,5
6176-YJWAS,4
7480-QNVZJ,2
9441-QHEVC,1
8751-EDEKA,0
4530-NDRKU,5
7392-YYPYJ,0
3096-WPXBT,0
1725-IQNIY,0
6173-ITPWD,0
1730-ZMAME,0
4654-ULTTN,0
4137-JOPHL,0
8221-EQDGL,0
4635-EJYPD,0
5012-YSPJJ,0
5143-WMWOG,0
8201-AAXCB,0
6198-PNNSZ,0
6140-QNRQQ,0
9927-DSWDF,1
6583-KQJLK,0
6064-PUPMC,1
7825-ECJRF,0
8713-IGZSO,0
5451-YHYPW,0
1090-ESELR,3
5882-CMAZQ,1
1356-MKYSK,1
2933-FILNV,0
4566-NECEV,0
5986-WWXDV,0
3620-EHIMZ,0
7534-BFESC,0
4816-LXZYW,1
4940-KHCWD,0
0430-IHCDJ,0
2239-CFOUJ,1
3359-DSRKA,0
2400-XIWIO,4
2040-OBMLJ,0
5073-WXOYN,0
3978-YNKDD,0
0322-YINQP,0
9866-OCCKE,0
6365-MTGZX,0
4274-DRSQT,0
2504-DSHIH,0
5876-HZVZM,0
2294-DMMUS,1
6195-MELTI,2
1429-UYJSV,1
9283-LZQOH,0
7162-WPHPM,3
7890-VYYWG,3
2662-NNTDK,0
6789-HJBWG,1
4086-YQSNZ,0
9863-JZAIC,0
4003-OCTMP,0
8473-VUVJN,1
9103-CXVOK,2
5146-YYFRZ,0
3675-EQOZA,4
8234-GSZYK,0
0743-HNPFG,0
6551-VLJMV,0
6953-PBDIN,1
8361-LTMKD,0
7072-MBHEV,0
3976-HXHCE,0
3583-EKAPL,1
2050-ONYDQ,0
4537-CIBHB,0
1272-ILHFG,0
8720-RQSBJ,2
0014-BMAQU,1
3716-BDVDB,0
2606-RMDHZ,0
5077-DXTCG,0
9710-ZUSHQ,5
2599-CIPQE,5
8974-OVACP,0
3648-GZPHF,0
6504-VBLFL,0
3097-NQYSN,0
3012-VFFMN,3
2307-FYNNL,3
9272-LSVYH,0
4404-HIBDJ,1
8972-HJWNV,0
9650-VBUOG,0
1347-KTTTA,0
3923-CSIHK,0
3692-JHONH,0
7644-OMVMY,2
8246-SHFGA,0
6993-YCOBK,3
8896-BQTTI,0
5133-VRSAB,0
5876-QMYLD,0
2520-SGTTA,0
2954-PIBKO,0
4806-DXQCE,0
7197-VOJMM,0
5956-VKDTT,0
6292-TOSSS,0
3594-UVONA,0
2027-DNKIV,1
5351-QESIO,1
0939-EREMR,0
6797-UCJHZ,3
6633-MPWBS,0
6967-QIQRV,1
3126-WQMGH,3
8104-OSKWT,3
9081-WWXKP,0
0224-RLWWD,0
4029-HPFVY,0
7249-WBIYX,2
8464-EETCQ,0
5120-ZBLAI,0
1104-FEJAM,0
8646-JCOMS,3
3806-DXQOM,0
5849-ASHZJ,1
0363-QJVFX,0
3026-ATZYV,0
0829-XXPLX,0
6128-DAFVY,0
2862-PFNIK,0
7776-QWNFX,2
5671-UUNXD,0
1069-QJOEE,0
5502-RLUYV,0
5310-NOOVA,0
0924-BJCRC,0
5143-EGQFK,0
3154-CFSZG,1
0295-QVKPB,1
0960-HUWBM,0
1470-PSXNM,0
2826-UWHIS,5
1792-UXAFY,0
0742-NXBGR,4
4749-OJKQU,0
2181-UAESM,3
2661-GKBTK,0
9170-ARBTB,0
3130-ICDUP,1
8681-ICONS,0
5522-NYKPB,0
1658-BYGOY,0
6341-JVQGF,0
3243-ZHOHY,2
3451-VAWLI,0
0727-BMPLR,0
5712-VBOXD,0
3389-YGYAI,0
3214-IYUUQ,0
7816-VGHTO,1
7951-QKZPL,0
4062-HBMOS,0
4948-WBBKL,3
9209-NWPGU,0
6563-VRERX,0
6907-FLBER,0
7233-DRTRF,0
7047-YXDMZ,4
0191-EQUUH,0
6861-XWTWQ,3
0323-XWWTN,0
7089-XXAYG,0
6941-PMGEP,0
5519-TEEUH,0
5201-USSQZ,0
9601-BRXPO,0
0754-EEBDC,4
9873-MNDKV,0
6924-TDGMT,0
3945-GFWQL,0
4973-MGTON,0
5357-TZHPP,0
5206-XZZQI,0
2361-UPSND,0
5602-BVFMK,0
4781-ZXYGU,1
1723-HKXJQ,2
1428-IEDPR,0
1043-YCUTE,0
7632-YUTXB,0
3705-PSNGL,0
2272-QAGFO,0
0916-KNFAJ,0
6204-IEUXJ,1
1325-USMEC,0
7251-XFOIL,0
6950-TWMYB,0
5482-NUPNA,0
2716-GFZOR,0
8138-EALND,0
6300-BWMJX,0
6543-CPZMK,0
5549-ZGHFB,0
2761-XECQW,3
5167-ZFFMM,0
0565-IYCGT,0
2709-UQGNP,0
1218-VKFPE,0
6295-OSINB,2
6857-VWJDT,0
6618-RYATB,0
6172-FECYY,0
3850-OKINF,0
4607-CHPCA,0
8270-RKSAP,1
1550-EENBN,0
5453-YBTWV,0
6050-IJRHS,0
7566-DSRLQ,1
6211-WHMYA,0
2344-JMOGN,0
1657-DYMBM,1
4010-YLMVT,0
2865-TCHJW,0
8969-PRHFK,0
7730-IUTDZ,0
2969-WGHQO,0
7064-FRRSW,0
8710-YGLWG,0
4254-QPEDE,0
4644-PIZRT,0
3865-ZYKAD,0
8591-TKMZH,1
2673-ZALNP,0
1699-HPSBG,4
0042-JVWOJ,0
4879-GZLFH,0
2143-LJULT,2
5397-NSKQG,0
